Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,260.799988,264.000000,258.700012,262.600006,261.284821,2927493
2023-05-11,264.899994,265.899994,262.100006,264.399994,263.075775,3784344
2023-05-12,266.000000,272.500000,260.149994,262.450012,261.135559,6831449
2023-05-15,268.200012,274.700012,266.600006,271.750000,270.388977,7505911
2023-05-16,273.100006,278.000000,265.700012,267.899994,266.558258,3746904
2023-05-17,268.000000,268.899994,262.549988,263.950012,262.628052,1586763
2023-05-18,265.049988,270.950012,264.100006,267.850006,266.508514,3657943
2023-05-19,268.500000,275.950012,262.500000,274.149994,272.776947,3080899
2023-05-22,274.950012,276.899994,270.100006,271.500000,270.140228,1264600
2023-05-23,273.149994,275.200012,270.200012,274.000000,272.627716,1642949
2023-05-24,274.049988,275.350006,271.149994,272.899994,271.533203,1022024
2023-05-25,270.000000,270.850006,263.799988,267.450012,266.110535,1726426
2023-05-26,267.950012,269.000000,266.100006,267.149994,265.812012,1173710
2023-05-29,269.100006,269.700012,265.500000,266.700012,265.364288,1831893
2023-05-30,267.200012,270.000000,266.299988,269.799988,268.448730,1158852
2023-05-31,270.000000,272.899994,267.049988,271.799988,270.438721,1288998
2023-06-01,273.000000,280.899994,271.549988,279.450012,278.050446,2921460
2023-06-02,281.000000,283.899994,278.600006,281.899994,280.488129,2771424
2023-06-05,284.399994,290.899994,283.649994,286.850006,285.413361,3890615
2023-06-06,288.549988,291.100006,287.250000,290.850006,289.393341,2226850
2023-06-07,292.000000,298.250000,288.899994,295.049988,293.572266,4436104
2023-06-08,295.899994,299.450012,288.250000,288.899994,287.453094,3311803
2023-06-09,290.000000,294.500000,288.399994,293.850006,292.378296,2402463
2023-06-12,295.000000,301.649994,294.149994,299.600006,298.099518,3490656
2023-06-13,301.799988,310.200012,300.799988,309.200012,307.651428,4924613
2023-06-14,310.700012,323.500000,310.250000,321.200012,319.591339,5815839
2023-06-15,321.000000,325.000000,317.100006,319.149994,317.551575,3345123
2023-06-16,321.000000,322.000000,314.500000,320.549988,318.944550,2363099
2023-06-19,321.899994,323.299988,310.049988,311.299988,309.740906,1822431
2023-06-20,311.500000,322.350006,305.299988,315.899994,314.317871,5141047
2023-06-21,317.399994,318.700012,310.799988,311.899994,310.337891,2269842
2023-06-22,313.399994,317.350006,306.049988,307.750000,306.208679,1896150
2023-06-23,308.000000,308.500000,295.799988,296.899994,295.413025,2225293
2023-06-26,297.200012,302.000000,294.399994,300.850006,299.343262,1664192
2023-06-27,302.100006,307.450012,302.000000,305.500000,303.969940,1279170
2023-06-28,308.500000,315.750000,307.500000,309.950012,308.397675,2750572
2023-06-30,311.500000,315.000000,308.950012,312.049988,310.487122,2828119
2023-07-03,314.000000,316.399994,306.149994,307.500000,305.959930,1797535
2023-07-04,309.100006,313.450012,306.049988,306.850006,305.313202,2072565
2023-07-05,309.350006,311.950012,307.000000,310.700012,309.143921,1410030
2023-07-06,310.700012,316.000000,309.149994,314.000000,312.427368,1734582
2023-07-07,314.000000,326.799988,309.600006,324.350006,322.725555,4895436
2023-07-10,327.600006,334.000000,323.649994,326.600006,324.964294,4201151
2023-07-11,328.000000,340.000000,327.299988,338.250000,336.555939,4093336
2023-07-12,339.450012,345.000000,334.950012,336.600006,334.914185,3550488
2023-07-13,337.000000,342.700012,332.600006,336.250000,334.565948,2941226
2023-07-14,339.149994,340.500000,334.000000,337.149994,335.461426,1927332
2023-07-17,337.850006,341.899994,334.600006,340.149994,338.446411,2522189
2023-07-18,341.299988,342.000000,334.100006,340.100006,338.396667,2338051
2023-07-19,341.500000,347.000000,339.049988,344.850006,343.122894,2504514
2023-07-20,346.600006,348.000000,343.000000,346.299988,344.565613,1682403
2023-07-21,344.000000,354.000000,342.299988,351.200012,349.441071,2340356
2023-07-24,352.799988,359.299988,350.799988,357.899994,356.107513,2351604
2023-07-25,359.600006,382.799988,359.149994,374.399994,372.524872,4981548
2023-07-26,435.000000,437.000000,417.450012,419.450012,417.349274,34156947
2023-07-27,423.950012,426.899994,414.399994,419.299988,417.199982,6412401
2023-07-28,421.000000,421.500000,410.299988,413.399994,413.399994,5701052
2023-07-31,417.000000,419.899994,411.799988,414.299988,414.299988,4150452
2023-08-01,415.500000,423.299988,414.000000,415.200012,415.200012,4546308
2023-08-02,415.200012,415.200012,395.200012,401.450012,401.450012,5305077
2023-08-03,401.950012,404.250000,397.799988,402.850006,402.850006,3058836
2023-08-04,405.899994,406.799988,399.799988,401.799988,401.799988,1964183
2023-08-07,402.950012,403.799988,398.250000,398.899994,398.899994,1527397
2023-08-08,401.049988,401.049988,393.500000,394.600006,394.600006,2044427
2023-08-09,395.399994,405.950012,394.700012,404.049988,404.049988,2914664
2023-08-10,405.000000,410.000000,400.049988,404.850006,404.850006,4251488
2023-08-11,406.000000,411.149994,400.000000,401.000000,401.000000,2660898
2023-08-14,402.000000,404.299988,392.950012,401.299988,401.299988,2278599
2023-08-16,399.500000,405.950012,397.000000,404.000000,404.000000,4483882
2023-08-17,405.000000,406.899994,400.049988,400.850006,400.850006,2366804
2023-08-18,400.500000,403.950012,398.549988,400.100006,400.100006,2258337
2023-08-21,400.100006,404.899994,400.049988,401.049988,401.049988,2165760
2023-08-22,402.500000,405.799988,402.049988,403.450012,403.450012,1457967
2023-08-23,405.899994,406.700012,397.799988,403.350006,403.350006,2382771
2023-08-24,406.000000,407.500000,402.500000,402.950012,402.950012,2649571
2023-08-25,402.700012,406.149994,393.049988,397.200012,397.200012,3671767
2023-08-28,398.049988,404.450012,398.049988,399.950012,399.950012,1828994
2023-08-29,400.049988,405.600006,400.049988,403.600006,403.600006,1904199
2023-08-30,404.549988,407.600006,402.899994,403.350006,403.350006,1020497
2023-08-31,404.000000,409.950012,396.100006,399.500000,399.500000,2517239
2023-09-01,400.200012,408.049988,400.200012,406.049988,406.049988,3306873
2023-09-04,408.000000,409.549988,403.950012,405.149994,405.149994,1171942
2023-09-05,406.899994,408.899994,402.399994,405.049988,405.049988,2100166
2023-09-06,404.000000,407.950012,403.500000,407.200012,407.200012,1572678
2023-09-07,409.000000,414.149994,406.500000,412.350006,412.350006,1690068
2023-09-08,415.250000,427.000000,412.700012,424.600006,424.600006,3709354
2023-09-11,432.500000,432.600006,426.049988,431.149994,431.149994,1844906
2023-09-12,434.000000,434.299988,416.049988,421.700012,421.700012,3533506
2023-09-13,422.200012,427.899994,420.299988,425.200012,425.200012,2276409
2023-09-14,428.950012,431.100006,426.250000,430.250000,430.250000,2423000
2023-09-15,431.000000,444.000000,427.200012,429.250000,429.250000,4430715
2023-09-18,433.799988,435.700012,427.049988,429.700012,429.700012,3198244
2023-09-20,431.450012,439.200012,429.250000,430.600006,430.600006,3099464
2023-09-21,428.000000,432.899994,419.000000,421.350006,421.350006,3102589
2023-09-22,424.500000,427.500000,415.600006,417.200012,417.200012,2460621
2023-09-25,420.899994,421.000000,416.750000,417.500000,417.500000,1403172
2023-09-26,419.899994,420.000000,415.000000,416.750000,416.750000,1584464
2023-09-27,417.500000,421.649994,414.399994,419.750000,419.750000,1166533
2023-09-28,423.899994,424.500000,417.350006,419.149994,419.149994,1558644
2023-09-29,420.149994,432.799988,420.149994,428.049988,428.049988,2356635
2023-10-03,430.899994,430.899994,420.700012,421.850006,421.850006,1425064
2023-10-04,420.000000,421.600006,409.649994,413.250000,413.250000,3060477
2023-10-05,415.750000,417.899994,410.549988,413.750000,413.750000,2387758
2023-10-06,420.450012,420.450012,416.700012,418.299988,418.299988,1241397
2023-10-09,415.049988,416.899994,408.200012,409.100006,409.100006,2076362
2023-10-10,409.649994,419.700012,409.649994,417.750000,417.750000,1248366
2023-10-11,419.000000,425.000000,419.000000,422.500000,422.500000,1353956
2023-10-12,424.000000,426.649994,423.299988,425.649994,425.649994,1068025
2023-10-13,423.000000,443.600006,422.600006,441.850006,441.850006,4647444
2023-10-16,444.950012,449.000000,440.399994,441.299988,441.299988,3469758
2023-10-17,443.100006,444.750000,435.350006,435.899994,435.899994,1322340
2023-10-18,438.000000,447.500000,435.450012,443.850006,443.850006,2886156
2023-10-19,439.500000,445.000000,436.750000,442.200012,442.200012,2189103
2023-10-20,440.200012,448.899994,438.649994,440.299988,440.299988,1705646
2023-10-23,442.549988,444.049988,425.000000,425.950012,425.950012,1967907
2023-10-25,428.649994,432.000000,416.899994,419.000000,419.000000,2370106
2023-10-26,419.000000,419.000000,410.450012,413.200012,413.200012,1936218
2023-10-27,417.000000,427.700012,415.500000,423.649994,423.649994,1976130
2023-10-30,424.100006,425.799988,412.500000,419.149994,419.149994,1507025
2023-10-31,427.350006,428.000000,419.000000,420.100006,420.100006,1551241
2023-11-01,420.500000,425.500000,418.350006,423.549988,423.549988,1707272
2023-11-02,426.000000,433.200012,424.149994,432.100006,432.100006,2029989
2023-11-03,449.899994,450.000000,439.700012,441.500000,441.500000,4845835
2023-11-06,443.700012,445.250000,433.100006,434.950012,434.950012,1917906
2023-11-07,437.000000,439.500000,432.350006,433.350006,433.350006,1596103
2023-11-08,435.549988,438.450012,434.250000,436.100006,436.100006,1594075
2023-11-09,437.700012,448.450012,436.250000,445.049988,445.049988,3930275
2023-11-10,442.750000,446.899994,439.350006,443.450012,443.450012,1803175
